index;baseKv;Vm;Va;Pd;Qd;Pg;Qg;type
540;380;1;44.52;0;0;459.73;0;2
541;380;1;100.39;0;0;2750;0;2
542;380;1;40.46;1699;0;0;0;1
543;380;1;75.02;2713.75;0;0;0;1
544;380;1;39.96;1997;0;0;0;1
545;380;1;45.79;0;0;50;0;2
546;380;1;71.4;1811.61;0;0;0;1
547;380;1;81.87;0;0;1788.13;0;2
548;380;1;67.74;0;0;1347.13;0;2
549;380;1;77.59;315.13;0;0;0;1
550;380;1;75.31;0;0;240.63;0;2
551;380;1;74.84;0;0;388.85;0;2
552;380;1;77.03;491;0;0;0;1
553;380;1;70.67;176.02;0;0;0;1
554;380;1;67.87;575;0;0;0;1
555;380;1;74.08;0;0;0;0;3
556;380;1;96.68;0;0;1200;0;2
557;380;1;11.72;417.98;0;0;0;1
558;380;1;16.07;256.7;0;1445;0;2
559;380;1;18.14;256.7;0;810.64;0;2
560;380;1;12.67;1719.59;0;0;0;1
561;380;1;17.27;240.17;0;0;0;1
562;380;1;13.07;256.7;0;0;0;1
563;380;1;15.23;240.17;0;0;0;1
564;380;1;16.98;93.79;0;0;0;1
565;380;1;16;240.17;0;0;0;1
566;380;1;12.14;559.11;0;0;0;1
567;380;1;13.75;629.59;0;0;0;1
568;380;1;16.19;240.17;0;0;0;1
569;380;1;19.49;0;0;902.97;0;2
570;380;1;15.78;271.19;0;0;0;1
571;380;1;13.74;271.19;0;0;0;1
572;380;1;14.91;271.19;0;0.25;0;2
573;380;1;14.9;559.1;0;0;0;1
574;380;1;17.41;0;0;0;0;3
575;380;1;11.69;0;0;1120;0;2
576;380;1;18.45;0;0;361.51;0;2
577;380;1;17.05;0;0;386.92;0;2
578;380;1;15.62;0;0;298.38;0;2
579;380;1;17.05;0;0;225.44;0;2
580;380;1;16.55;0;0;0;0;3
581;380;1;15.47;0;0;139.37;0;2
582;380;1;13.52;0;0;119.58;0;2
583;380;1;19.62;0;0;307.41;0;2
584;380;1;1.91;559.1;0;0;0;1
585;380;1;27.63;0;0;704.58;0;2
586;380;1;-1.46;559.1;0;0;0;1
587;380;1;15.13;120.31;0;0;0;1
588;380;1;13.24;307.75;0;0;0;1
589;380;1;-7.29;559.1;0;0;0;1
590;380;1;0.99;559.1;0;0;0;1
591;380;1;15.27;120.31;0;0;0;1
592;380;1;-4.9;0;0;106.2;0;2
593;380;1;12.93;0;0;555.88;0;2
594;380;1;18.47;0;0;448.4;0;2
595;380;1;21.17;0;0;827.41;0;2
596;380;1;14.59;0;0;249.89;0;2
597;380;1;3.53;120.31;0;0;0;1
598;380;1;-4.06;559.1;0;0;0;1
599;380;1;18.87;0;0;790;0;2
600;380;1;16.02;120.31;0;0;0;1
601;380;1;0.22;0;0;313.14;0;2
602;380;1;-6.52;0;0;295.12;0;2
603;380;1;-1.56;0;0;74.47;0;2
604;380;1;75.49;273.97;0;424.21;0;2
605;380;1;73.02;273.97;0;0;0;1
606;380;1;70.1;280.06;0;83.79;0;2
